--- Unified Training v2 ---
Rank: 0 / 1
Labels: 116
Train: 659 | Val: 165
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat1 | Loss = 193.4971
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_5__Pat20 | Loss = 104.5945
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat118 | Loss = 562.8179
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat29 | Loss = 86.3017
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat82 | Loss = 90.0029
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat74 | Loss = 445.9021
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat65 | Loss = 397.9850
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat122 | Loss = 105.8830
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat131 | Loss = 96.4234
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat101 | Loss = 82.5385
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat25 | Loss = 93.7892
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat97 | Loss = 96.0924
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat79 | Loss = 89.7078
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_7__Pat2 | Loss = 85.3639
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat132 | Loss = 85.3999
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat60 | Loss = 80.4560
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat103 | Loss = 87.5451
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat84 | Loss = 79.9526
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat9 | Loss = 78.1060
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat111 | Loss = 76.8125
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat88 | Loss = 80.8521
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat22 | Loss = 75.0688
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat15 | Loss = 67.4688
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_5__Pat5 | Loss = 62.8727
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_6__Pat14 | Loss = 60.7818
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat15 | Loss = 224.0859
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat88 | Loss = 68.2048
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat30 | Loss = 60.4130
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_5__Pat46 | Loss = 66.4244
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat56 | Loss = 69.7066
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat64 | Loss = 58.5762
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_3__Pat25 | Loss = 64.9975
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat86 | Loss = 60.0033
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat95 | Loss = 56.7997
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat51 | Loss = 54.2838
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_6__Pat103 | Loss = 47.8755
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat54 | Loss = 60.0657
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat90 | Loss = 43.2915
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_5__Pat91 | Loss = 65.7979
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat131 | Loss = 28.9454
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat17 | Loss = 47.5771
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat33 | Loss = 30.5632
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_6__Pat114 | Loss = 32.2042
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat35 | Loss = 25.9968
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat3 | Loss = 38.5983
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat87 | Loss = 28.5089
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat68 | Loss = 19.1894
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat87 | Loss = 34.4175
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat67 | Loss = 61.4971
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_5__Pat14 | Loss = 15.3467
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat98 | Loss = 28.1113
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat29 | Loss = 16.7333
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat8 | Loss = 17.5379
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat24 | Loss = 21.1079
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat2 | Loss = 11.9150
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat34 | Loss = 17.0399
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat75 | Loss = 12.0932
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat56 | Loss = 11.7225
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat55 | Loss = 22.0075
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_9__Pat20 | Loss = 16.4007
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat111 | Loss = 13.1396
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat15 | Loss = 8.5901
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat87 | Loss = 38.9105
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat104 | Loss = 16.4000
